soma_joinid,doi,title,method_headers
519,10.1038/s41586-021-03465-8,"Comparative cellular analysis of motor cortex in human, marmoset and mouse","[""Statistics and reproducibility"", ""Ethical compliance"", ""Postmortem human tissue specimens"", ""Human RNA-seq, quality control and clustering"", ""Marmoset sample processing and nuclei isolation"", ""Marmoset RNA-seq, quality control and clustering"", ""Mouse snRNA-seq and snATAC-seq"", ""Integrating and clustering human Cv3 and SSv4 snRNA-seq datasets"", ""Integrating and clustering"", ""Estimation of cell-type homology"", ""Marker determination for cell-type clusters"", ""Calculating DEGs"", ""Differential isoform usage in humans and mice"", ""Species cluster dendrograms"", ""Multiplex FISH and immunofluorescence"", ""Conservation of gene families"", ""Replicability of clusters"", ""SNARE–seq2"", ""Single-cell methylome data (snmC-seq2)"", ""Characterization of chandelier cells"", ""Patch–seq"", ""Reporting summary""]"
534,10.1038/s42003-024-06225-2,Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,"[""Ethics statement"", ""Study population and design"", ""Flow cytometry"", ""Single-cell 5’ RNA and T cell receptor sequencing"", ""Differential gene expression and pathway analysis"", ""T cell receptor repertoire analysis"", ""Statistics and reproducibility"", ""Reporting summary""]"
537,10.1016/j.isci.2023.108572,mRNA COVID-19 vaccine elicits potent adaptive immune response without the acute inflammation of SARS-CoV-2 infection,"[""Key resources table"", ""Resource availability"", ""Experimental model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
542,10.1126/science.abo0510,Mapping the developing human immune system across organs*,"[""Tissue acquisition and processing"", ""Single-cell RNA sequencing experiment"", ""ATO cell cultures"", ""Visium"", ""Single-molecule fluorescence in situ hybridization (smFISH)"", ""scRNA-seq analysis"", ""Spatial data analysis"", ""B1 functional validation experiment""]"
546,10.1002/ctm2.1356,Single‐cell RNA sequencing captures patient‐level heterogeneity and associated molecular phenotypes in breast cancer pleural effusions,"[""Patient sample collection"", ""Sample preparation for scRNA‐seq"", ""Data processing for visualizations"", ""Processing of external datasets""]"
557,10.1038/s41467-020-18957-w,Stress-induced RNA–chromatin interactions promote endothelial dysfunction,"[""Cell lines"", ""Cell transfection and stimuli"", ""RNA extraction and quantitative PCR"", ""(Immuno)fluorescent staining"", ""scRNA-seq of HUVECs and data analysis"", ""scRNA-seq of donor-derived arterial ECs and data analysis"", ""Hi-C"", ""iMARGI assay and data analysis"", ""RNA-seq and data analysis"", ""DNA FISH experiment and imaging analysis"", ""RNA FISH experiment and imaging analysis"", ""Subcellular fractionation and RNA isolation"", ""Monocyte adhesion assay"", ""SA-β-gal staining"", ""Statistical analysis"", ""Reporting summary""]"
560,10.1038/s41586-022-05060-x,Spatial multi-omic map of human myocardial infarction,"[""Ethics"", ""Human tissue processing and screening"", ""Spatial gene expression assay"", ""Single-nuclei isolation of human hearts"", ""scRNA-seq"", ""sc-ATAC-seq"", ""RNA in situ hybridization and image quantification"", ""Nuclei quantification of H&E stained Visium slides"", ""Animal model of myocardial infarction"", ""Inducible fate-tracing experiments"", ""Echocardiography"", ""smFISH spot quantification and nuclear segmentation"", ""Masson trichrome staining"", ""Antibodies and immunofluorescence staining"", ""Confocal imaging"", ""Generation of a humanPDGFRB+cardiac cell line"", ""Lentiviral overexpression ofRUNX1"", ""Quantitative PCR with reverse transcription"", ""Preprocessing of snRNA-seq, snATAC-seq and spatial transcriptome data"", ""snRNA-seq data processing"", ""Comparison with independent healthy and ischaemic human heart cell atlases"", ""snATAC-seq data processing"", ""Comparison between snRNA-seq and snATAC-seq data"", ""Cell-type-specific transcription factor binding and regulon activity"", ""Cell-type-specific GWAS signal enrichment"", ""Cell-type-specific integration of snATAC-seq and snRNA-seq data and sub-clustering"", ""Analysis of snRNA-seq data from mouse fibroblasts"", ""Gene-regulatory network inference for cardiomyocytes and fibroblasts"", ""Characterization of spatial transcriptomics datasets"", ""Cell–cell communication analysis"", ""Visualization, statistics, and reproducibility"", ""Reporting summary""]"
591,10.1038/nn.4216,Adult Mouse Cortical Cell Taxonomy by Single Cell Transcriptomics,"[""Data, reagent, and code availability""]"
594,10.1038/s41586-020-2907-3,Phenotypic variation of transcriptomic cell types in mouse motor cortex,"[""Animals"", ""Slice preparation"", ""Patch-seq recording procedures"", ""Experiments at physiological temperature"", ""RNA sequencing of patched cells"", ""Biocytin staining and morphological reconstructions"", ""Cortical thickness normalization and layer assignment"", ""t-Type assignment"", ""Selection of most variable genes"", ""t-SNE visualization of the transcriptomic data"", ""Extraction of electrophysiological features"", ""Extraction of morphological features"", ""Reduced-rank regression"", ""t-SNE visualization of the morpho-electric phenotypes"", ""kNN classification of transcriptomic families"", ""Within-family analysis"", ""T-type variability analysis"", ""Reporting summary""]"
596,10.15252/embj.20105114,SARS‐CoV‐2 receptorACE2 andTMPRSS2 are primarily expressed in bronchial transient secretory cells,"[""Reagents and Tools table"", ""Methods and Protocols"", ""Lung tissues""]"
602,10.1038/s43587-024-00613-3,Human skeletal muscle aging atlas,"[""Experimental methods"", ""Computational methods"", ""Reporting summary""]"
608,10.1016/j.ccell.2022.11.001,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
610,10.1016/j.cell.2021.11.031,Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,"[""RESOURCE AVAILABILITY"", ""EXPERIMENTAL MODEL AND SUBJECTS DETAILS"", ""METHOD DETAILS"", ""QUANTIFICATION AND STATISTICAL ANALYSIS""]"
621,10.1038/s41588-024-01688-9,A single-cell atlas enables mapping of homeostatic cellular shifts in the adult human breast,"[""Human tissues"", ""Batch design"", ""Mammary gland dissociation into single-cell suspension"", ""scRNA-seq"", ""Library preparation and sequencing"", ""Processing and quality control of scRNA-seq data"", ""Clustering and annotation"", ""Differential expression and gene set enrichment analysis"", ""Milo and differential abundance analysis"", ""Cell–cell interactions"", ""Copy number inference"", ""Ultivue InSituPlex staining and imaging"", ""iHBCA"", ""Immunofluorescence staining and analysis"", ""Statistics and reproducibility"", ""Reporting summary""]"
633,10.1038/s41467-024-52052-8,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment,"[""Mice"", ""Drug administration"", ""Full blood Count"", ""Chronic constrictive injury mice model"", ""Pain-related behavioral tests"", ""Anxiety and balance motor function-related behavior assessments"", ""Senescence-associated β-galactosidase staining"", ""Immunostaining"", ""Imaging"", ""DRG dissociation and single-nuclei isolation51–53"", ""Fluorescent-activated nuclei sorting and single-nuclei RNA sequencing (Smart-seq3xpress and 10x Multiomic sequencing)"", ""Obtaining and preprocessing the publicly available scRNA-seq data"", ""Preprocessing the lab-generated data"", ""Main UMAP of DRG"", ""Feature imputation"", ""Analysis of the nociceptive lineage cells"", ""Cell state potency"", ""Temporal analysis of nociceptive subtypes"", ""Cell-cell communication"", ""Identification of senescence"", ""Analysis of human DRG RNA-seq within"", ""Analysis of human DRG RNA-seq with diabetic neuropathy"", ""UMAP of TG"", ""Statistical analysis"", ""Reporting summary""]"
635,10.1038/s41586-023-06806-x,A human embryonic limb cell atlas resolved in space and time,"[""Human tissue sample collection"", ""Human tissue processing and scRNA-seq data generation"", ""Mouse tissue sample collection and scRNA-seq data generation"", ""Visium spatial transcriptomic experiments of human tissue"", ""Digit region analysis of Visium data"", ""Alignment, quantification and quality control of scRNA-seq data"", ""Alignment and quantification of human Visium data"", ""Doublet detection of scRNA-seq data"", ""Data preprocessing and integration of scRNA-seq data"", ""Clustering and annotation of scRNA-seq data"", ""Deconvolution of human Visium data using cell2location"", ""Alignment and merging of multiple Visium sections using VisiumStitcher"", ""Trajectory analysis of human scRNA-seq data"", ""RNA velocity calculations for mesenchymal compartment"", ""Cell–cell communication analysis of human scRNA-seq data"", ""Regulon analysis of transcription factors"", ""Integration of human and mouse scRNA-seq data"", ""Immunohistochemistry"", ""RNA-ISH"", ""RNA-ISH colocalization analysis"", ""Light-sheet fluorescence microscopy"", ""The antibodies used for light-sheet fluorescence microscopy"", ""MSCknockdown in human primary myoblasts"", ""Ethics statement"", ""Reporting summary""]"
641,10.1073/pnas.2023333118,"Early role for a Na+,K+-ATPase (ATP1A3) in brain development","[""Human Subjects and Samples."", ""Human Genetics Sequencing and Analysis."", ""Phenotypic Assessment."", ""Human Brain Tissue Preparation and mRNA ISH."", ""Bulk Human Cortex Gene-Expression Analysis."", ""Drop-Seq Isolation and Sequencing."", ""Graphics.""]"
642,10.1182/blood.2021013442,"Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts inKMT2A-rearranged leukemia","[""Human biospecimens"", ""Single-cell RNA sequencing (scRNA-Seq)"", ""Single-cell assay for transposase-accessible chromatin using sequencing (scATAC-Seq)""]"
650,10.1038/s41467-021-22368-w,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,"[""Tissue procurement"", ""Nuclear dissociation and library preparation"", ""Single nucleus RNA sequencing bioinformatics workflow"", ""Single nucleus ATAC sequencing bioinformatics workflow"", ""Comparison to previously published database of DNase hypersensitive sites"", ""Estimation of transcription factor activity from snATAC-seq data"", ""Generation of cis-coaccessibility networks with Cicero"", ""Construction of pseudotemporal trajectories with Monocle or Cicero"", ""Comparison of Cicero coaccessibility connections to GeneHancer database"", ""Genotyping and variant annotation with GATK pipeline"", ""Allele-specific expression analysis"", ""Gene-ontology enrichment analysis"", ""Gene set enrichment analysis"", ""Deconvolution of bulk RNA-seq data"", ""Inter-species snRNA-seq data comparison"", ""Cell culture"", ""ChIP-qPCR"", ""Immunofluorescence studies"", ""Immunohistochemical staining of tissue for light microscopy"", ""Statistical analysis"", ""Reporting summary""]"
706,10.1038/s41586-022-04918-4,Single-cell roadmap of human gonadal development,"[""Patient samples"", ""Assignment of developmental stage"", ""Tissue processing"", ""Cell sorting"", ""Single-nuclei suspension"", ""Tissue cryopreservation"", ""Tissue freezing"", ""Tissue collection from mouse embryos"", ""Haematoxylin and eosin staining and imaging"", ""Multiplexed smFISH and high-resolution imaging"", ""Image stitching"", ""10X Genomics Chromium GEX (gene expression) library preparation and sequencing"", ""10X Genomics Visium library preparation and sequencing"", ""Alignment and quantification of sc or snRNA-seq data"", ""Downstream scRNA-seq analysis"", ""Alignment, quantification and quality control of ATAC data"", ""Downstream scATAC-seq analysis"", ""Alignment, quantification and quality control of Visium data"", ""Downstream analysis of 10X Genomics Visium data"", ""CellPhoneDB and CellSign"", ""TF analysis"", ""Reporting summary""]"
710,10.1371/journal.pbio.3000152,Single-cell transcriptomics reveals gene expression dynamics of human fetal kidney development,"[""Ethics statement"", ""Experimental methods"", ""Quantification and statistical analysis""]"
725,10.1038/s41586-021-03500-8,A transcriptomic and epigenomic cell atlas of the mouse primary motor cortex,"[""Tissue collection and isolation of cells or nuclei (RNA-seq at the Allen Institute)"", ""Tissue collection and nuclei isolation (RNA-seq at the Broad Institute)"", ""Tissue collection and isolation of nuclei for epigenomic samples"", ""Genomic library preparation, sequencing and data processing"", ""Preprocessing of the DNA methylation (snmC-seq2) data (Salk Institute)"", ""Computational analysis"", ""Transcriptome analysis"", ""MetaNeighbor analysis"", ""Multimodality integration"", ""Analysis of enhancers"", ""Cluster validation analysis"", ""Reporting summary""]"
728,10.1038/s41586-020-2922-4,A molecular cell atlas of the human lung from single cell RNA sequencing,"[""Human lung tissue and peripheral blood"", ""Mouse lung tissue"", ""Isolation of lung and blood cells"", ""Magnetic separation of lung tissue compartments"", ""Flow cytometry and cell sorting"", ""Single cell mRNA sequencing"", ""Immune cell bulk mRNA sequencing"", ""Immunohistochemistry"", ""Single moleculein situhybridization""]"
729,10.1073/pnas.2200914119,Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,"[""Tissue Acquisition, Dissection, and Processing."", ""Histology.""]"
731,10.1126/sciimmunol.adf9988,Early human lung immune cell development and its role in epithelial cell fate,"[""Study design"", ""Human lung tissue"", ""Immune cell IHC quantification"", ""Quantification of tissue-resident immune cells"", ""Digestion of human lung tissue and flow cytometry/FACS"", ""scRNA-seq and CITE-seq staining, library construction and sequencing"", ""Single-cell data quantification"", ""Genetic donor demultiplexing"", ""scRNA-seq downstream analyses"", ""Human embryonic lung organoids"", ""Cytokine treatment"", ""Dual SMAD activation (DSA)"", ""Macrophage and DC culture and cytokine array"", ""Statistical analysis""]"
737,10.1038/s41586-022-05496-1,Ovarian cancer mutational processes drive site-specific immune evasion,"[""Experimental methods"", ""Computational methods"", ""Reporting summary""]"
747,10.1016/j.cell.2021.12.018,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis"", ""Additional resources""]"
767,10.1038/s41588-021-00972-2,Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro,"[""Uterine tissue retrieval"", ""Endometrial organoid cultures"", ""Hormonal stimulation and inhibition experiment of endometrial organoids"", ""Doublet detection, alignment of data across different batches and clustering of scRNA-seq data"", ""Annotation of scRNA-seq datasets"", ""Efficiency of organoid differentiation"", ""Annotation of organoid data using scRNA-seq in vivo dataset reference"", ""Annotation of snRNA-seq using scRNA-seq in vivo dataset as a reference"", ""Trajectory analysis of organoid data"", ""Cellular signal analysis"", ""Location of cell types in Visium data"", ""Clustering of spots"", ""Calculating TF activities"", ""CellPhoneDB v.3.0"", ""Image stitching and manual annotation of selected glands"", ""smFISH quantification"", ""Reporting Summary""]"
771,10.1111/cas.15979,Single‐cell transcriptomic analysis of gingivo‐buccal oral cancer reveals two dominant cellular programs,"[""Sample collection"", ""Preparation of single‐cell suspension"", ""Single‐cell RNA sequencing library construction and sequencing"", ""Single‐cell RNA sequencing data processing"", ""Identification of malignant cells"", ""Analysis of subclusters within malignant and nonmalignant cell clusters""]"
772,10.3389/fcvm.2020.00052,A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature,"[""Mice"", ""Immune Challenge"", ""Tissue Dissociation and Single-Cell Library Preparation"", ""Single-Cell RNA-seq Data Analysis"", ""Nearest Neighbor Alignments in Trajectory Space"", ""Differential Gene Expression and Gene Enrichment Analysis"", ""Correlation Analysis"", ""Cross Species Single-Cell Transcriptome Analysis"", ""Reanalysis of Human LEC Datasets"", ""Immunostaining of Mouse LNs"", ""Immunostaining of Human LNs"", ""Antibodies"", ""RNAin situHybridization"", ""Imaging""]"
779,10.1016/j.devcel.2020.11.010,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,"[""Key Resources Table"", ""Resource Availability"", ""Experimental Model and Subject Details"", ""Method Details"", ""scVelo and PAGA Trajectory Analysis"", ""Quantification and Statistical Analysis""]"
799,10.1016/j.celrep.2022.111838,A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing,"[""RESOURCE AVAILABILITY"", ""EXPERIMENTAL MODEL AND SUBJECT DETAILS"", ""METHOD DETAILS"", ""QUANTIFICATION AND STATISTICAL ANALYSIS""]"
829,10.1016/j.cell.2020.08.013,Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,"[""Key Resources Table"", ""Resource Availability"", ""Experimental Model and Subject Details"", ""Method Details"", ""Quantification and Statistical Analysis""]"
842,10.1172/jci.insight.178499,Single-cell RNA-Seq analysis reveals cell subsets and gene signatures associated with rheumatoid arthritis disease activity,"[""Study design."", ""Sample processing and 10X scRNA-Seq."", ""Preprocessing."", ""Compositional analysis."", ""Differential gene expression analysis."", ""Overrepresentation analysis."", ""Cell-cell communication analysis using CellChat."", ""Statistics."", ""Study approval."", ""Data availability.""]"
860,10.1016/j.cell.2021.07.023,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
862,10.1093/hmg/ddab140,Human photoreceptor cells from different macular subregions have distinct transcriptional profiles,"[""Experimental model and subject details"", ""Bulk RNA-sequencing of foveal, parafoveal and macular human retina"", ""Computational analysis of bulk RNA-sequencing data"", ""Real time PCR quantification of isoform abundance"", ""Foveal and parafoveal retina scRNA-seq"", ""Computational analysis of scRNA-seq data"", ""Quantification of retinal cell densities"", ""Immunohistochemistry""]"
871,10.1126/sciimmunol.abd1554,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,"[""Patients"", ""Single-cell RNA-seq"", ""Single-cell RNA-seq data processing"", ""Cell type annotation through marker gene identification in each cluster"", ""Reproducibility of biological replicates"", ""Hierarchical clustering of the transcriptomes at cell type resolution"", ""Hierarchical clustering of variable gene expression among disease groups at cell type resolution"", ""Analysis of dynamic changes in cell type composition compared to healthy donors"", ""Identification of DEGs using MAST"", ""Gene Ontology analysis for biological pathways"", ""WGCNA analysis to identify modular gene expression patterns"", ""Subclustering analysis"", ""Trajectory analysis"", ""K-means clustering analysis of monocytes"", ""Data analysis of the transcriptome profiles of post-mortem lung tissues"", ""Enrichment analysis using Enrichr and GSEA 4.0.3"", ""Flow cytometry analysis"", ""ELISA and cytometric bead arrays"", ""Statistical analysis""]"
873,10.1038/s41590-020-0602-z,Distinct microbial and immune niches of the human colon,"[""Colon and mesenteric lymph node tissue retrieval"", ""Tissue dissociation for flow-sorting separation and MAC separation"", ""Flow-sorting"", ""MACS cell enrichment"", ""Tissue dissociation for Ficoll separation"", ""10x Genomics Chromium GEX library preparation and sequencing"", ""10x Genomics Chromium VDJ library preparation and sequencing"", ""Plate-based scRNA-seq"", ""Single-cell RNA sequencing data alignment"", ""Single-cell RNA sequencing quality control"", ""Cell type annotation"", ""‘Pseudospace’ analysis"", ""Sampling of microbiome"", ""Microbiota profiling and sequencing"", ""T cell clonal sharing analysis"", ""Bulk B cell receptor sequencing"", ""10x Genomics single-cell VDJ data processing, quality control and\nannotation"", ""Quantifying IgA binding of bacteria"", ""Genomic DNA Extraction for shotgun sequencing of IgA-bound bacteria"", ""Statistical analysis""]"
893,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,"[""Acquisition of human tissues and blood"", ""T cell isolation and stimulation"", ""Single-Cell RNA-seq"", ""Single-Cell RNA-seq data processing"", ""Computational identification of T cells"", ""Course-grained clustering of T cells from each donor"", ""Blood projection analysis"", ""Comparison of TEM cells from tissue and blood"", ""Analysis of tissue T cell signatures in other datasets"", ""Single-cell hierarchical poisson factorization analysis"", ""Activation trajectory analysis"", ""Flow cytometry and proliferation assays"", ""Quantitative real-time PCR"", ""Tumor-associated T cell projection analysis"", ""Analysis of T cells from dengue virus-infected patients"", ""Reporting summary""]"
938,10.7554/eLife.62522,Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of SARS-CoV2 host genes,"[""Human subjects and tissue collection"", ""Single-nucleus ATAC-seq data generation"", ""Single-nucleus RNA-seq data generation"", ""Single-nucleus RNA-seq analysis"", ""Single-nucleus ATAC-seq analysis"", ""Computing relative accessibility scores"", ""Calculating the relative percent of cells with accessibility at a locus"", ""Associating promoters to candidate distal regulatory elements"", ""Identification and clustering of AT2 peaks with changes in chromatin accessibility genome-wide"", ""Identification of AT2 peaks with changes in chromatin accessibility at candidate gene loci"", ""Annotation of genomic elements"", ""Transcription factor related analyses"", ""Predicting variant effects on TF binding and chromatin accessibility"", ""Phenotype associations for predicted effect variants"", ""Annotating risk variants at the 3p21.31 locus"", ""Deconvoluting lung expression QTLs"", ""Statistics"", ""Code availability""]"
939,10.1016/j.xcrm.2021.100219,A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells,"[""Key Resources Table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
948,10.1182/bloodadvances.2023011445,Multiomic profiling of human clonal hematopoiesis reveals genotype and cell-specific inflammatory pathway activation∗,"[""Primary patient samples"", ""DNA extraction and CH variant calling"", ""scRNA-seq library preparation"", ""10× single-cell sequencing and data preparation"", ""Single-cell mitochondrial enrichment"", ""Single-cell MT-DNA sequencing, read processing, and variant calling"", ""scDNA-seq via Mission Bio Tapestri"", ""Pipeline processing and variant filtering for Tapestri scDNA-seq"", ""Identification and selection of informative single-cell MT-DNA variants"", ""Differential expression analysis and pathway analysis"", ""Phospho-specific flow cytometry""]"
968,10.1038/s41592-024-02172-2,Generation of complex bone marrow organoids from human induced pluripotent stem cells,"[""Cell culture"", ""Differentiation of BMOs"", ""Cell lines"", ""Mouse strains"", ""Mouse kidney capsule transplantation"", ""Mouse xenotransplantation"", ""Artificial thymic organoid generation"", ""Flow cytometry"", ""Flow cytometry data analysis"", ""BMO dissociation for scRNA-seq"", ""scRNA-seq library preparation and sequencing"", ""scRNA-seq data analysis"", ""CFU assay"", ""Trilineage MSPC differentiation assay"", ""Modeling inflammation"", ""Immunofluorescence"", ""Confocal microscopy"", ""Two-photon microscopy"", ""Image rendering and analysis"", ""Angiotool"", ""Immunohistochemistry"", ""Histology of xenotransplants"", ""Cytospins"", ""Electron microscopy"", ""Data visualization, statistical analysis and reproducibility"", ""Reporting summary""]"
987,10.1016/j.xgen.2023.100298,A multi-omics atlas of the human retina at single-cell resolution,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
998,10.1038/s41467-022-32972-z,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,"[""Human kidney tissue"", ""Statistics and reproducibility"", ""Nuclear dissociation and library preparation"", ""Single nucleus ATAC sequencing and bioinformatics workflow"", ""Single nucleus RNA sequencing and bioinformatics workflow"", ""Single cell analysis of five-prime ends with SCAFE"", ""Cell culture"", ""GR CUT&RUN library preparation and peak calling"", ""Bulk ATAC-seq library preparation and peak calling"", ""CRISPR interference"", ""Quantitative PCR"", ""Bulk RNA-seq analysis of previously published human DKD"", ""Comparison of Cell-specific DAR and GR binding sites to differentially methylated regions in CKD or DKD"", ""Partitioned heritability of ATAC peaks"", ""Allele-specific modeling with SALSA"", ""Reporting summary""]"
1012,10.1186/s13059-019-1906-x,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation","[""Aim and study design"", ""Donor samples"", ""Tissue section staining"", ""Tissue dissociation"", ""Library preparation, bulk RNA, and WGS"", ""Computational analysis""]"
1014,10.1038/s44161-022-00183-w,A single-cell comparison of adult and fetal human epicardium defines the age-associated changes in epicardial activity,"[""Adult data collection"", ""Fetal sample collection"", ""hESC-EPI differentiation and collection"", ""RNA-seq pre-processing and processing"", ""Stratified sampling of datasets"", ""Integration of adult and fetal data"", ""Epicardial markers and epicardial markers library"", ""Ligand receptor analysis with CellPhoneDB"", ""Gene–gene co-occurrence and epicardial gene module construction"", ""hESC-EPI analysis and classification"", ""Immunofluorescent staining"", ""Visium slide and library preparation for spatial transcriptomics and Cell2Location"", ""Ethics statement"", ""Reporting summary""]"
1028,10.1016/j.isci.2024.109916,Comprehensive single-cell atlas of the mouse retina,"[""Key resources table"", ""Resource availability"", ""Experimental model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
1053,10.1038/s41467-022-35297-z,Single-cell profiling of healthy human kidney reveals features of sex-based transcriptional programs and tissue-specific immunity,"[""Experimental model and subject details"", ""Experimental method details"", ""Gene expression validation studies"", ""Quantification and statistical analysis"", ""Figure preparation"", ""Reporting summary""]"
1064,10.1073/pnas.2121720119,Cellular and transcriptional diversity over the course of human lactation,"[""Donor Enrollment and Breast Milk Collection."", ""Cell Isolation."", ""Generation of scRNA-seq Data with Seq-Well S3."", ""Analysis of scRNA-seq Data.""]"
1065,10.1038/s41467-023-40505-5,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,"[""Data collection"", ""Single-cell genomic data analysis"", ""Defining and classifying open chromatin regions"", ""Comparing snRNA-seq and scATAC-seq"", ""Comparing the cell labels in our study with Litviňuková’s et al."", ""Comparing the OCRs in our study with Hocker et al."", ""Identifying putative TFs regulating chromatin accessibility"", ""SCAVENGE analysis"", ""Testing enrichment of GWAS risk variants in functional annotations"", ""Fine-mapping causal variants in AF-associated loci"", ""Annotating putative AF causal variants with additional functional data"", ""Assessing regulatory effects of candidate variants by Luciferase assay"", ""Gene mapping procedure with Mapgen"", ""Benchmarking performance of different methods for risk gene identification"", ""Gene interaction network analysis"", ""eQTL tissue sharing analysis"", ""Reporting summary""]"
1073,10.1126/science.abl5197,Cross-tissue immune cell analysis reveals tissue-specific features in humans,"[""Tissue acquisition, processing and single-cell sequencing"", ""scRNA-seq and scVDJ-seq data analysis"", ""CellTypist"", ""Single molecule FISH, flow cytometry, qPCR and Immunofluorescence""]"
1076,10.1242/dev.199711,Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features,"[""Sample processing"", ""Single-cell RNA sequencing"", ""Quality control and filtering"", ""Cell cycle and gene module scoring"", ""Normalisation, integration and dimension reduction"", ""Cell type classification"", ""Mouse and human correlation analysis"", ""Comparison with bulkin vitroRNA-seq data"", ""Correlation analysis forPAX7"", ""RNA velocity"", ""CellRank trajectory analysis"", ""Immunostaining and microscopy"", ""RNAscope FISH with immunohistochemistry"", ""Image analyses of mouse and human spinal cord sections""]"
1103,10.1038/s41593-021-00872-y,Spatial and cell-type transcriptional landscape of human cerebellar development,"[""Cerebellum samples"", ""Histology, immunohistochemistry, andin situhybridization analyses"", ""Laser capture microdissection"", ""RNA-seq and analysis"", ""Gene co-expression network analyses"", ""BrainSpan RNA-seq data"", ""SPLiT-seq method"", ""snRNA-seq analysis"", ""Cell type deconvolution"", ""Cross-species analysis"", ""Gene set curation"", ""Cell type enrichment analysis"", ""Statistical Tests""]"
1120,10.3390/cells13231991,Transcriptomic Analysis of Air–Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation,"[""2.1. Organoid Culture"", ""2.2. Organoid-Derived Transitional Differentiated Cell Culture"", ""2.3. Sample Preparation for scRNA-Seq"", ""2.4. scRNA-Seq Quality Control, Normalization, and Data Integration"", ""2.5. RNA Velocity and Psudotime Analyses"", ""2.6. Tissue Similarity Evaluation"", ""2.7. Differential Gene Expression Analyses and Further In-Silico Analyses Using iPathwayGuide""]"
1148,10.1016/j.isci.2023.106877,A comprehensive mouse kidney atlas enables rare cell population characterization and robust marker discovery,"[""Key resources table"", ""Resource availability"", ""Method details""]"
1155,10.1016/j.xcrm.2023.101158,Prolonged cytopenia following CD19 CAR T cell therapy is linked with bone marrow infiltration of clonally expanded IFNγ-expressing CD8 T cells,"[""Key resources table"", ""Resource availability"", ""Experimental model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
1157,10.1101/2024.10.27.620502,Transcriptional profiles of murine oligodendrocyte precursor cells across the lifespan,"[""Animal care and use"", ""Generation of Matn4-mEGFP mouse line"", ""Immunohistochemistry"", ""Head plate installation and cranial window surgery"", ""In vivo two-photon laser scanning microscopy"", ""Cell Isolation, Enrichment, and cDNA Library Preparation"", ""Data analysis"", ""Immunofluorescence and RNA fluorescence in situ hybridization chain reaction (HCR IF + HCR RNA-FISH)"", ""Image analysis of FISH"", ""Isolation of oligodendrocyte progenitor cells"", ""Culture of adult oligodendrocyte progenitor cells"", ""Imaging and quantification of in vitro pharmacological assays""]"
1161,10.1038/s41467-024-49037-y,Single-cell and spatially resolved interactomics of tooth-associated keratinocytes in periodontitis,"[""Ethics statement"", ""Human integrated periodontitis atlas and mouse keratinocyte atlas generation and analysis"", ""Spatial validation and analysis of keratinocytes"", ""Human primary cell culture and analysis"", ""Statistical methods"", ""Reporting summary""]"
